id	title	priority	members
G1	プロジェクト基盤	A	F-01,F-02,F-04
G2	実行基盤	A	F-07,F-08,F-09,F-10,F-11,F-12
G3	World とボール・バー・壁反射	A	C-01,C-02,C-03,C-04,C-05
G4	キャラ基礎・ブロック・敗北判定	A	H-01,C-06,C-15,C-07,C-08
G5	スリング (湾曲・チャージショット)	A	C-09,C-10
G6	試合構造 (ボス・敵スキル・勝利判定)	A	C-12,C-11,C-14,C-13
G7	スキルシステムとキャラスキル一式	A	H-02,H-03,H-08,H-04,H-05,H-06,H-07,H-09
G8	インゲーム最低限UI	A	U-01,U-02,U-03
G9	公開・PRプレビュー	A	F-05,F-06
G10	マッチヒストリー	B	U-04
G11	フォント・UI整備	B	U-06
G12	リプレイ基盤と再生UI	B	F-13,U-05
G13	オートプレイ・Fuzz	B	Q-01,Q-02
G14	ロガー強化	B	Q-03
G15	E2E テスト	B	F-03
